vehicle_key,vehicle_id,synthetic_vin,vehicle_model_key,vehicle_model_id,condition_type,exterior_color,interior_color,odometer_reading,odometer_band,acquisition_source,source_system
171,VEH-0000171,ARPIRL1C0BGKGK75E,103,VMD-00103,New,Autumn Green,Jet Black,28,New,Manufacturer Allocation,arpi_synthetic_generator
172,VEH-0000172,ARPIUAW45GEYDZPK5,40,VMD-00040,Used,Silver Ice,Slate Gray,102643,Over 100k,Lease Return,arpi_synthetic_generator
173,VEH-0000173,ARPI6RPDB47S5AYNE,119,VMD-00119,New,Ice Silver,Jet Black,44,New,Manufacturer Allocation,arpi_synthetic_generator
174,VEH-0000174,ARPIVYTCGUJM89V8H,104,VMD-00104,Used,Summit White,Medium Ash Gray,10991,10k-30k,Customer Trade,arpi_synthetic_generator
175,VEH-0000175,ARPIUREU4EE8CDK33,53,VMD-00053,Used,Summit White,Jet Black,75853,60k-100k,Auction,arpi_synthetic_generator
176,VEH-0000176,ARPILWAX288V9XVD8,110,VMD-00110,Certified,Mosaic Black,Slate Gray,9791,Under 10k,Auction,arpi_synthetic_generator
177,VEH-0000177,ARPIT3TRRK5U04MG8,90,VMD-00090,New,Cherry Red,Slate Gray,44,New,Manufacturer Allocation,arpi_synthetic_generator
178,VEH-0000178,ARPI71XX64K7ECCPK,108,VMD-00108,New,Sunlit Yellow,Jet Black,34,New,Manufacturer Allocation,arpi_synthetic_generator
179,VEH-0000179,ARPISD43DAYY8K233,1,VMD-00001,Used,Crystal Black Silica,Jet Black,163212,Over 100k,Customer Trade,arpi_synthetic_generator
180,VEH-0000180,ARPITJBJ3VLWVZK2X,53,VMD-00053,Used,Mosaic Black,Medium Ash Gray,45264,30k-60k,Off-street Purchase,arpi_synthetic_generator
181,VEH-0000181,ARPIYUV8TVJKUBGYT,53,VMD-00053,Used,Summit White,Jet Black,86147,60k-100k,Customer Trade,arpi_synthetic_generator
182,VEH-0000182,ARPI2H7EM9D9LCKD8,92,VMD-00092,Used,Magnetite Gray,Titanium,26160,10k-30k,Lease Return,arpi_synthetic_generator
183,VEH-0000183,ARPIC60K5M4YYD04Z,32,VMD-00032,Used,Summit White,Medium Ash Gray,45471,30k-60k,Customer Trade,arpi_synthetic_generator
184,VEH-0000184,ARPI643H6V7YJDXHP,109,VMD-00109,Used,Cherry Red,Medium Ash Gray,14037,10k-30k,Lease Return,arpi_synthetic_generator
185,VEH-0000185,ARPILSCZ1FRL9VJU1,23,VMD-00023,Certified,Sunlit Yellow,Medium Ash Gray,80000,60k-100k,Lease Return,arpi_synthetic_generator
186,VEH-0000186,ARPIJ5Y7KSD2532DA,110,VMD-00110,New,Summit White,Slate Gray,35,New,Manufacturer Allocation,arpi_synthetic_generator
187,VEH-0000187,ARPIB2P2YVXJ7FRXU,120,VMD-00120,New,Cayenne Orange,Jet Black,7,New,Manufacturer Allocation,arpi_synthetic_generator
188,VEH-0000188,ARPIKY830VL1LMEZ9,47,VMD-00047,Used,Mosaic Black,Slate Gray,75687,60k-100k,Customer Trade,arpi_synthetic_generator
189,VEH-0000189,ARPIKXE4ZU56VGKNY,103,VMD-00103,New,Mosaic Black,Slate Gray,7,New,Manufacturer Allocation,arpi_synthetic_generator
190,VEH-0000190,ARPI4B8CA4FBTD04H,5,VMD-00005,Used,Magnetite Gray,Warm Ivory,66848,60k-100k,Lease Return,arpi_synthetic_generator
191,VEH-0000191,ARPI7283GR8V6VFV9,116,VMD-00116,New,Cherry Red,Saddle Tan,47,New,Manufacturer Allocation,arpi_synthetic_generator
192,VEH-0000192,ARPI2FNDLZ9X15DKV,92,VMD-00092,Used,Summit White,Jet Black,28346,10k-30k,Customer Trade,arpi_synthetic_generator
193,VEH-0000193,ARPI7T4W7TET9YEWK,120,VMD-00120,New,Summit White,Warm Ivory,5,New,Manufacturer Allocation,arpi_synthetic_generator
194,VEH-0000194,ARPI7VZ935PLTUK1E,113,VMD-00113,Used,Crystal Black Silica,Slate Gray,6139,Under 10k,Auction,arpi_synthetic_generator
195,VEH-0000195,ARPI6KJES5KDAW74F,87,VMD-00087,Used,Magnetite Gray,Slate Gray,35971,30k-60k,Auction,arpi_synthetic_generator
196,VEH-0000196,ARPIZRX8BVK02BK4V,76,VMD-00076,Certified,Mosaic Black,Medium Ash Gray,34397,30k-60k,Customer Trade,arpi_synthetic_generator
197,VEH-0000197,ARPI9U33EZ66KCCN9,45,VMD-00045,Used,Silver Ice,Warm Ivory,104391,Over 100k,Off-street Purchase,arpi_synthetic_generator
198,VEH-0000198,ARPIRYPLSNLMSVC6K,110,VMD-00110,Used,Mosaic Black,Medium Ash Gray,16262,10k-30k,Off-street Purchase,arpi_synthetic_generator
199,VEH-0000199,ARPI2A2WEFCCW45E1,118,VMD-00118,New,Northsky Blue,Warm Ivory,5,New,Manufacturer Allocation,arpi_synthetic_generator
200,VEH-0000200,ARPI25WYNKSG2DXAG,10,VMD-00010,Used,Sunlit Yellow,Jet Black,56776,30k-60k,Customer Trade,arpi_synthetic_generator
201,VEH-0000201,ARPIGA5JW28BNBF5T,83,VMD-00083,Used,Mosaic Black,Titanium,38957,30k-60k,Auction,arpi_synthetic_generator
202,VEH-0000202,ARPIE9Z6D9UXC5DRM,77,VMD-00077,Certified,Mosaic Black,Saddle Tan,49669,30k-60k,Lease Return,arpi_synthetic_generator
203,VEH-0000203,ARPIC3DZBH28KNG9L,113,VMD-00113,New,Magnetite Gray,Warm Ivory,36,New,Manufacturer Allocation,arpi_synthetic_generator
204,VEH-0000204,ARPISFY60RC7SZJX6,50,VMD-00050,Certified,Magnetite Gray,Warm Ivory,56555,30k-60k,Customer Trade,arpi_synthetic_generator
205,VEH-0000205,ARPILFYHWJ5UT478D,73,VMD-00073,Used,Cherry Red,Medium Ash Gray,57203,30k-60k,Lease Return,arpi_synthetic_generator
206,VEH-0000206,ARPIKHEYHW32RXRZ0,119,VMD-00119,New,Mosaic Black,Saddle Tan,31,New,Manufacturer Allocation,arpi_synthetic_generator
207,VEH-0000207,ARPI8RV6LV9HS44SF,104,VMD-00104,Certified,Summit White,Slate Gray,10958,10k-30k,Customer Trade,arpi_synthetic_generator
208,VEH-0000208,ARPIYWYE0BF6X51Y1,31,VMD-00031,Used,Crystal Black Silica,Jet Black,106570,Over 100k,Auction,arpi_synthetic_generator
209,VEH-0000209,ARPIK9MNMDF9EUHHC,46,VMD-00046,Certified,Ice Silver,Jet Black,57490,30k-60k,Customer Trade,arpi_synthetic_generator
210,VEH-0000210,ARPITCBEEV88AK9U2,106,VMD-00106,New,Sandstone Beige,Warm Ivory,49,New,Manufacturer Allocation,arpi_synthetic_generator
211,VEH-0000211,ARPI655MHT0GCEN5V,112,VMD-00112,New,Mosaic Black,Jet Black,18,New,Manufacturer Allocation,arpi_synthetic_generator
212,VEH-0000212,ARPIW3TKD0FETZV56,43,VMD-00043,Used,Northsky Blue,Jet Black,46873,30k-60k,Auction,arpi_synthetic_generator
213,VEH-0000213,ARPI2UX4ZZYT3V1KM,110,VMD-00110,Used,Summit White,Jet Black,13691,10k-30k,Off-street Purchase,arpi_synthetic_generator
214,VEH-0000214,ARPIP6ZT9E6TNH3ZD,119,VMD-00119,New,Silver Ice,Slate Gray,14,New,Manufacturer Allocation,arpi_synthetic_generator
215,VEH-0000215,ARPIK3J3TPCXDXZJN,56,VMD-00056,Certified,Magnetite Gray,Jet Black,54025,30k-60k,Customer Trade,arpi_synthetic_generator
216,VEH-0000216,ARPIPYZ4175PHFBE4,110,VMD-00110,Used,Summit White,Medium Ash Gray,15212,10k-30k,Off-street Purchase,arpi_synthetic_generator
217,VEH-0000217,ARPIM11GDYAWR0LDT,54,VMD-00054,Used,Magnetite Gray,Jet Black,80393,60k-100k,Customer Trade,arpi_synthetic_generator
218,VEH-0000218,ARPI63GT3NXUS41WL,119,VMD-00119,Used,Magnetite Gray,Slate Gray,3093,Under 10k,Lease Return,arpi_synthetic_generator
219,VEH-0000219,ARPI1F7FHLA4RECB5,50,VMD-00050,Used,Northsky Blue,Jet Black,69190,60k-100k,Lease Return,arpi_synthetic_generator
220,VEH-0000220,ARPILZRG6TSTEG0FB,68,VMD-00068,Used,Northsky Blue,Saddle Tan,49670,30k-60k,Auction,arpi_synthetic_generator
221,VEH-0000221,ARPIU5KM5U4SBGXJP,109,VMD-00109,New,Northsky Blue,Warm Ivory,47,New,Manufacturer Allocation,arpi_synthetic_generator
222,VEH-0000222,ARPIB8NLDC8U6S0EN,115,VMD-00115,New,Sandstone Beige,Medium Ash Gray,29,New,Manufacturer Allocation,arpi_synthetic_generator
223,VEH-0000223,ARPI81EG0ZDVLEHUG,45,VMD-00045,Used,Northsky Blue,Jet Black,64851,60k-100k,Auction,arpi_synthetic_generator
224,VEH-0000224,ARPIVKPSFVW61U0W8,89,VMD-00089,New,Autumn Green,Medium Ash Gray,50,New,Manufacturer Allocation,arpi_synthetic_generator
225,VEH-0000225,ARPICRY97CPCM7ZM5,112,VMD-00112,Used,Mosaic Black,Medium Ash Gray,3101,Under 10k,Lease Return,arpi_synthetic_generator
226,VEH-0000226,ARPIE786XE1R0LXBA,109,VMD-00109,New,Autumn Green,Jet Black,6,New,Manufacturer Allocation,arpi_synthetic_generator
227,VEH-0000227,ARPID7EY4C3458JVB,90,VMD-00090,New,Northsky Blue,Medium Ash Gray,24,New,Manufacturer Allocation,arpi_synthetic_generator
228,VEH-0000228,ARPIVLL2M592ZV70T,108,VMD-00108,New,Mosaic Black,Jet Black,33,New,Manufacturer Allocation,arpi_synthetic_generator
229,VEH-0000229,ARPI21BFFKNGDJVFF,41,VMD-00041,Used,Ice Silver,Slate Gray,47299,30k-60k,Customer Trade,arpi_synthetic_generator
230,VEH-0000230,ARPIXKALRGAJNYWX5,13,VMD-00013,Used,Mosaic Black,Jet Black,128801,Over 100k,Lease Return,arpi_synthetic_generator
231,VEH-0000231,ARPIA0J6U46S810BY,47,VMD-00047,Used,Mosaic Black,Slate Gray,89031,60k-100k,Customer Trade,arpi_synthetic_generator
232,VEH-0000232,ARPIM00CP8UZS2D04,103,VMD-00103,Used,Summit White,Medium Ash Gray,15675,10k-30k,Customer Trade,arpi_synthetic_generator
233,VEH-0000233,ARPIPY94WRLFBEWHV,103,VMD-00103,New,Ice Silver,Medium Ash Gray,22,New,Manufacturer Allocation,arpi_synthetic_generator
234,VEH-0000234,ARPIT72HHBYFYUWMZ,89,VMD-00089,New,Sunlit Yellow,Warm Ivory,23,New,Manufacturer Allocation,arpi_synthetic_generator
235,VEH-0000235,ARPIBRZY9EXJC1R2J,61,VMD-00061,Used,Sunlit Yellow,Saddle Tan,57532,30k-60k,Customer Trade,arpi_synthetic_generator
236,VEH-0000236,ARPIL9GCCK3SRBMLM,50,VMD-00050,Used,Silver Ice,Warm Ivory,55762,30k-60k,Auction,arpi_synthetic_generator
237,VEH-0000237,ARPIUD3VR9AWBSBP4,5,VMD-00005,Used,Mosaic Black,Titanium,175436,Over 100k,Auction,arpi_synthetic_generator
238,VEH-0000238,ARPIEMBTVR85KRS8W,119,VMD-00119,Used,Magnetite Gray,Slate Gray,2512,Under 10k,Auction,arpi_synthetic_generator
239,VEH-0000239,ARPITXXTZ28E39DEX,23,VMD-00023,Certified,Silver Ice,Slate Gray,76967,60k-100k,Auction,arpi_synthetic_generator
240,VEH-0000240,ARPIYTKE7GDHEX9UG,46,VMD-00046,Certified,Mosaic Black,Jet Black,58616,30k-60k,Lease Return,arpi_synthetic_generator
241,VEH-0000241,ARPIRPF2J5BNH8KBK,74,VMD-00074,Used,Sunlit Yellow,Titanium,34494,30k-60k,Lease Return,arpi_synthetic_generator
242,VEH-0000242,ARPIU5DRZWCBB72W3,97,VMD-00097,Used,Silver Ice,Jet Black,33995,30k-60k,Off-street Purchase,arpi_synthetic_generator
243,VEH-0000243,ARPIDWTFBV5M10SJV,36,VMD-00036,Used,Magnetite Gray,Jet Black,92809,60k-100k,Customer Trade,arpi_synthetic_generator
244,VEH-0000244,ARPIEAT7CDAC0SVKG,101,VMD-00101,New,Mosaic Black,Jet Black,19,New,Manufacturer Allocation,arpi_synthetic_generator
245,VEH-0000245,ARPI9TMPYDKUG8D65,21,VMD-00021,Used,Magnetite Gray,Medium Ash Gray,109031,Over 100k,Auction,arpi_synthetic_generator
246,VEH-0000246,ARPIM7BNCEDNC9P65,40,VMD-00040,Used,Crystal Black Silica,Jet Black,65495,60k-100k,Dealer Trade,arpi_synthetic_generator
247,VEH-0000247,ARPI4F3E8NU1ARCZV,74,VMD-00074,Used,Cayenne Orange,Jet Black,41140,30k-60k,Auction,arpi_synthetic_generator
248,VEH-0000248,ARPI2V9YPGYELDU59,65,VMD-00065,Used,Mosaic Black,Slate Gray,34166,30k-60k,Auction,arpi_synthetic_generator
249,VEH-0000249,ARPI34KG7GP0LFEPG,88,VMD-00088,Certified,Cherry Red,Jet Black,18152,10k-30k,Lease Return,arpi_synthetic_generator
250,VEH-0000250,ARPIYU0R6KENZKXT4,117,VMD-00117,Used,Crystal Black Silica,Warm Ivory,10590,10k-30k,Auction,arpi_synthetic_generator
251,VEH-0000251,ARPIF6RZLNWP7UNV6,56,VMD-00056,Used,Magnetite Gray,Medium Ash Gray,89905,60k-100k,Customer Trade,arpi_synthetic_generator
252,VEH-0000252,ARPIW6218W6Z37M16,50,VMD-00050,Used,Northsky Blue,Slate Gray,86906,60k-100k,Auction,arpi_synthetic_generator
253,VEH-0000253,ARPIHKGL940FV36CW,107,VMD-00107,New,Summit White,Jet Black,40,New,Manufacturer Allocation,arpi_synthetic_generator
254,VEH-0000254,ARPITLVRT4TA8WGK6,115,VMD-00115,Used,Magnetite Gray,Jet Black,4474,Under 10k,Auction,arpi_synthetic_generator
255,VEH-0000255,ARPISZLYTW2A3K630,72,VMD-00072,Used,Magnetite Gray,Jet Black,62648,60k-100k,Dealer Trade,arpi_synthetic_generator
256,VEH-0000256,ARPI75GLFHFGFTTNK,78,VMD-00078,Used,Magnetite Gray,Slate Gray,32926,30k-60k,Off-street Purchase,arpi_synthetic_generator
257,VEH-0000257,ARPIF2L4YBSWXJASJ,107,VMD-00107,New,Magnetite Gray,Jet Black,28,New,Manufacturer Allocation,arpi_synthetic_generator
258,VEH-0000258,ARPIYE3VE8E3648RC,74,VMD-00074,Used,Autumn Green,Titanium,52339,30k-60k,Auction,arpi_synthetic_generator
259,VEH-0000259,ARPIYFW9ZJX1K19L1,90,VMD-00090,New,Mosaic Black,Jet Black,43,New,Manufacturer Allocation,arpi_synthetic_generator
260,VEH-0000260,ARPIZT9F44PXM50S9,89,VMD-00089,New,Ice Silver,Medium Ash Gray,15,New,Manufacturer Allocation,arpi_synthetic_generator
261,VEH-0000261,ARPI77VFBT2LMUV71,113,VMD-00113,New,Silver Ice,Jet Black,4,New,Manufacturer Allocation,arpi_synthetic_generator
262,VEH-0000262,ARPI8E8P6KD4NLC65,104,VMD-00104,New,Ice Silver,Medium Ash Gray,33,New,Manufacturer Allocation,arpi_synthetic_generator
263,VEH-0000263,ARPI94R1N0ZUGBHM5,42,VMD-00042,Used,Magnetite Gray,Jet Black,49988,30k-60k,Customer Trade,arpi_synthetic_generator
264,VEH-0000264,ARPIRTZHP3SJCG408,113,VMD-00113,New,Cherry Red,Jet Black,41,New,Manufacturer Allocation,arpi_synthetic_generator
265,VEH-0000265,ARPIWMRC47CGC0ACL,29,VMD-00029,Used,Cayenne Orange,Saddle Tan,92461,60k-100k,Auction,arpi_synthetic_generator
266,VEH-0000266,ARPI1UPN2R57W6B7G,92,VMD-00092,Used,Mosaic Black,Medium Ash Gray,28692,10k-30k,Off-street Purchase,arpi_synthetic_generator
267,VEH-0000267,ARPILR05TN136JTRS,83,VMD-00083,Used,Mosaic Black,Jet Black,47702,30k-60k,Off-street Purchase,arpi_synthetic_generator
268,VEH-0000268,ARPIYTVTB82S53865,22,VMD-00022,Used,Silver Ice,Medium Ash Gray,101936,Over 100k,Lease Return,arpi_synthetic_generator
269,VEH-0000269,ARPIC3K8U4P7P8D41,52,VMD-00052,Used,Northsky Blue,Slate Gray,69526,60k-100k,Off-street Purchase,arpi_synthetic_generator
270,VEH-0000270,ARPI3K29TCY1T78RV,27,VMD-00027,Used,Summit White,Saddle Tan,109996,Over 100k,Auction,arpi_synthetic_generator
271,VEH-0000271,ARPIPCTMX0XEGJ4NX,118,VMD-00118,New,Mosaic Black,Slate Gray,33,New,Manufacturer Allocation,arpi_synthetic_generator
272,VEH-0000272,ARPIV2CC3591EPX1T,117,VMD-00117,New,Sunlit Yellow,Slate Gray,30,New,Manufacturer Allocation,arpi_synthetic_generator
273,VEH-0000273,ARPIDPEGTDM63G8LM,58,VMD-00058,Used,Cayenne Orange,Medium Ash Gray,70314,60k-100k,Customer Trade,arpi_synthetic_generator
274,VEH-0000274,ARPI5LTTHTU7P23S3,69,VMD-00069,Used,Mosaic Black,Jet Black,44058,30k-60k,Dealer Trade,arpi_synthetic_generator
275,VEH-0000275,ARPIWAK9BS4PNCR0A,89,VMD-00089,New,Silver Ice,Jet Black,13,New,Manufacturer Allocation,arpi_synthetic_generator
276,VEH-0000276,ARPI3G0CTR66UBPSD,119,VMD-00119,Used,Summit White,Slate Gray,7636,Under 10k,Auction,arpi_synthetic_generator
277,VEH-0000277,ARPIARLV84F6D4469,54,VMD-00054,Used,Summit White,Warm Ivory,72129,60k-100k,Off-street Purchase,arpi_synthetic_generator
278,VEH-0000278,ARPIA8Y6TUFJDBXFR,116,VMD-00116,Used,Mosaic Black,Jet Black,9400,Under 10k,Auction,arpi_synthetic_generator
279,VEH-0000279,ARPIW842UE184PANM,29,VMD-00029,Used,Mosaic Black,Jet Black,98824,60k-100k,Customer Trade,arpi_synthetic_generator
280,VEH-0000280,ARPIT06KTD4R0JY5X,109,VMD-00109,Certified,Mosaic Black,Slate Gray,9008,Under 10k,Customer Trade,arpi_synthetic_generator
281,VEH-0000281,ARPIFK65CYS0W9FKL,82,VMD-00082,Used,Northsky Blue,Slate Gray,49622,30k-60k,Auction,arpi_synthetic_generator
282,VEH-0000282,ARPIBAFNX8LZ3EH70,104,VMD-00104,Used,Crystal Black Silica,Titanium,14608,10k-30k,Customer Trade,arpi_synthetic_generator
283,VEH-0000283,ARPI9R3X0FYDC576J,119,VMD-00119,New,Summit White,Warm Ivory,22,New,Manufacturer Allocation,arpi_synthetic_generator
284,VEH-0000284,ARPI8MMSY5V5Y35L0,104,VMD-00104,Used,Autumn Green,Slate Gray,12024,10k-30k,Dealer Trade,arpi_synthetic_generator
285,VEH-0000285,ARPIF3UUBDCTEHY3X,104,VMD-00104,Used,Silver Ice,Jet Black,11274,10k-30k,Dealer Trade,arpi_synthetic_generator
286,VEH-0000286,ARPIVRM0FXSCNAKPZ,116,VMD-00116,New,Northsky Blue,Jet Black,9,New,Manufacturer Allocation,arpi_synthetic_generator
287,VEH-0000287,ARPI638YTLAWZGD63,89,VMD-00089,New,Magnetite Gray,Jet Black,29,New,Manufacturer Allocation,arpi_synthetic_generator
288,VEH-0000288,ARPIMYRKX50LK4VRJ,104,VMD-00104,Used,Mosaic Black,Titanium,17189,10k-30k,Auction,arpi_synthetic_generator
289,VEH-0000289,ARPILER5DCV2F8X93,20,VMD-00020,Used,Silver Ice,Jet Black,99919,60k-100k,Lease Return,arpi_synthetic_generator
290,VEH-0000290,ARPI5RX15W8CV3H00,113,VMD-00113,New,Mosaic Black,Medium Ash Gray,4,New,Manufacturer Allocation,arpi_synthetic_generator
291,VEH-0000291,ARPIZ4BB66VR1KNZP,106,VMD-00106,Certified,Silver Ice,Jet Black,10744,10k-30k,Dealer Trade,arpi_synthetic_generator
292,VEH-0000292,ARPI65PAYHRGBLL7E,38,VMD-00038,Used,Northsky Blue,Medium Ash Gray,54363,30k-60k,Customer Trade,arpi_synthetic_generator
293,VEH-0000293,ARPIWJ3FHFP2E3300,113,VMD-00113,New,Sunlit Yellow,Saddle Tan,28,New,Manufacturer Allocation,arpi_synthetic_generator
294,VEH-0000294,ARPIYW1WV98A73T4Z,86,VMD-00086,Used,Magnetite Gray,Jet Black,35220,30k-60k,Customer Trade,arpi_synthetic_generator
295,VEH-0000295,ARPIXBE5AWDJ5PFJS,32,VMD-00032,Used,Magnetite Gray,Jet Black,63384,60k-100k,Lease Return,arpi_synthetic_generator
296,VEH-0000296,ARPIRP2HEY3Y080WR,74,VMD-00074,Certified,Silver Ice,Slate Gray,34309,30k-60k,Customer Trade,arpi_synthetic_generator
297,VEH-0000297,ARPI40KMJX5WWTZ7X,80,VMD-00080,Used,Cherry Red,Saddle Tan,47379,30k-60k,Off-street Purchase,arpi_synthetic_generator
298,VEH-0000298,ARPIPPDAM3H7YE8G0,104,VMD-00104,New,Ice Silver,Warm Ivory,29,New,Manufacturer Allocation,arpi_synthetic_generator
299,VEH-0000299,ARPIB2WEEC8TEXFH2,89,VMD-00089,Certified,Northsky Blue,Warm Ivory,27442,10k-30k,Auction,arpi_synthetic_generator
300,VEH-0000300,ARPIFE2Y8S36K3XXL,7,VMD-00007,Used,Northsky Blue,Saddle Tan,138968,Over 100k,Auction,arpi_synthetic_generator
301,VEH-0000301,ARPI6ALX6G50SRMEL,110,VMD-00110,Certified,Silver Ice,Medium Ash Gray,9991,Under 10k,Customer Trade,arpi_synthetic_generator
302,VEH-0000302,ARPI9DGA5D114H0TT,89,VMD-00089,New,Magnetite Gray,Slate Gray,41,New,Manufacturer Allocation,arpi_synthetic_generator
303,VEH-0000303,ARPIKSBD2W50H8WKB,103,VMD-00103,New,Mosaic Black,Slate Gray,5,New,Manufacturer Allocation,arpi_synthetic_generator
304,VEH-0000304,ARPILGZ82WSMVBPHP,23,VMD-00023,Used,Cherry Red,Jet Black,65968,60k-100k,Dealer Trade,arpi_synthetic_generator
305,VEH-0000305,ARPID8BM5J1YKESD5,89,VMD-00089,Certified,Sunlit Yellow,Slate Gray,14173,10k-30k,Customer Trade,arpi_synthetic_generator
306,VEH-0000306,ARPI19XLXJXJLKH1N,103,VMD-00103,New,Mosaic Black,Slate Gray,44,New,Manufacturer Allocation,arpi_synthetic_generator
307,VEH-0000307,ARPI0TWSHLKDAZH84,109,VMD-00109,New,Ice Silver,Jet Black,32,New,Manufacturer Allocation,arpi_synthetic_generator
308,VEH-0000308,ARPIFZ5PTTV58RG8B,92,VMD-00092,Used,Sandstone Beige,Jet Black,24004,10k-30k,Off-street Purchase,arpi_synthetic_generator
309,VEH-0000309,ARPIRZK2GS708C8M1,89,VMD-00089,Used,Magnetite Gray,Slate Gray,13672,10k-30k,Customer Trade,arpi_synthetic_generator
310,VEH-0000310,ARPIX8LD88JAPFZHU,104,VMD-00104,Used,Summit White,Titanium,10658,10k-30k,Customer Trade,arpi_synthetic_generator
311,VEH-0000311,ARPI72JU191B6X21A,108,VMD-00108,New,Autumn Green,Jet Black,47,New,Manufacturer Allocation,arpi_synthetic_generator
312,VEH-0000312,ARPICEAFF22TCANGS,119,VMD-00119,New,Magnetite Gray,Medium Ash Gray,38,New,Manufacturer Allocation,arpi_synthetic_generator
313,VEH-0000313,ARPI28A9JNCCZH4H9,41,VMD-00041,Used,Magnetite Gray,Medium Ash Gray,110926,Over 100k,Lease Return,arpi_synthetic_generator
314,VEH-0000314,ARPISGH1YHBKGFS8N,31,VMD-00031,Used,Sandstone Beige,Medium Ash Gray,48447,30k-60k,Auction,arpi_synthetic_generator
315,VEH-0000315,ARPIKFG7ZXSHXD7R5,91,VMD-00091,Used,Northsky Blue,Jet Black,24412,10k-30k,Lease Return,arpi_synthetic_generator
316,VEH-0000316,ARPIRYLVDVESM22L9,119,VMD-00119,Used,Sandstone Beige,Saddle Tan,6448,Under 10k,Dealer Trade,arpi_synthetic_generator
317,VEH-0000317,ARPIWEYKUR78CNPLA,108,VMD-00108,New,Summit White,Medium Ash Gray,46,New,Manufacturer Allocation,arpi_synthetic_generator
318,VEH-0000318,ARPICNPEZZL66MZRL,104,VMD-00104,New,Summit White,Warm Ivory,28,New,Manufacturer Allocation,arpi_synthetic_generator
319,VEH-0000319,ARPI4VCVGGJXTUHYU,40,VMD-00040,Used,Crystal Black Silica,Jet Black,49400,30k-60k,Customer Trade,arpi_synthetic_generator
320,VEH-0000320,ARPI3SC8PM5J9N7EX,23,VMD-00023,Certified,Sunlit Yellow,Warm Ivory,79894,60k-100k,Customer Trade,arpi_synthetic_generator
321,VEH-0000321,ARPI7W0KC64XPRUWB,112,VMD-00112,New,Summit White,Jet Black,2,New,Manufacturer Allocation,arpi_synthetic_generator
322,VEH-0000322,ARPIK5SR3V8SBRGBZ,112,VMD-00112,Used,Cherry Red,Medium Ash Gray,12281,10k-30k,Customer Trade,arpi_synthetic_generator
323,VEH-0000323,ARPIYD5W17KMENPEY,65,VMD-00065,Used,Summit White,Medium Ash Gray,39751,30k-60k,Lease Return,arpi_synthetic_generator
324,VEH-0000324,ARPI9H5NYL6712PU1,64,VMD-00064,Used,Mosaic Black,Warm Ivory,35083,30k-60k,Lease Return,arpi_synthetic_generator
325,VEH-0000325,ARPIGEENH1B13Z2B2,110,VMD-00110,New,Sandstone Beige,Jet Black,42,New,Manufacturer Allocation,arpi_synthetic_generator
326,VEH-0000326,ARPIKY472TXT5DZA4,90,VMD-00090,New,Mosaic Black,Medium Ash Gray,37,New,Manufacturer Allocation,arpi_synthetic_generator
327,VEH-0000327,ARPIC36FA169NMGDM,55,VMD-00055,Used,Northsky Blue,Titanium,60634,60k-100k,Lease Return,arpi_synthetic_generator
328,VEH-0000328,ARPI74UU0NBHX3CPR,111,VMD-00111,Used,Summit White,Jet Black,9808,Under 10k,Customer Trade,arpi_synthetic_generator
329,VEH-0000329,ARPIEJ5ABJ4YACJED,89,VMD-00089,New,Sunlit Yellow,Slate Gray,34,New,Manufacturer Allocation,arpi_synthetic_generator
330,VEH-0000330,ARPI20H4KS7WC16AU,38,VMD-00038,Used,Summit White,Medium Ash Gray,57026,30k-60k,Customer Trade,arpi_synthetic_generator
331,VEH-0000331,ARPI1VWHV0VKZZG35,92,VMD-00092,Used,Summit White,Jet Black,17667,10k-30k,Off-street Purchase,arpi_synthetic_generator
332,VEH-0000332,ARPIWRY68EJYKHCE5,32,VMD-00032,Certified,Magnetite Gray,Slate Gray,59133,30k-60k,Lease Return,arpi_synthetic_generator
333,VEH-0000333,ARPIGTT5VYR40VBN1,107,VMD-00107,New,Mosaic Black,Medium Ash Gray,38,New,Manufacturer Allocation,arpi_synthetic_generator
334,VEH-0000334,ARPIV4RYPEJNRUZVG,7,VMD-00007,Used,Magnetite Gray,Saddle Tan,130907,Over 100k,Customer Trade,arpi_synthetic_generator
335,VEH-0000335,ARPIV7RF37CGZHKBW,89,VMD-00089,Used,Crystal Black Silica,Warm Ivory,12306,10k-30k,Off-street Purchase,arpi_synthetic_generator
336,VEH-0000336,ARPI84PHBY600S8LN,63,VMD-00063,Certified,Northsky Blue,Jet Black,29948,10k-30k,Lease Return,arpi_synthetic_generator
337,VEH-0000337,ARPISUXTHV3V6C3J3,92,VMD-00092,Used,Summit White,Medium Ash Gray,25063,10k-30k,Dealer Trade,arpi_synthetic_generator
338,VEH-0000338,ARPIRB7B304A36RVC,109,VMD-00109,New,Sunlit Yellow,Jet Black,20,New,Manufacturer Allocation,arpi_synthetic_generator
339,VEH-0000339,ARPIC2RS4N5XJZNHK,113,VMD-00113,Used,Crystal Black Silica,Jet Black,1578,Under 10k,Auction,arpi_synthetic_generator
340,VEH-0000340,ARPIFZ7T4UCZ8AJJE,79,VMD-00079,Used,Summit White,Titanium,23724,10k-30k,Auction,arpi_synthetic_generator
341,VEH-0000341,ARPI5ZGLBA6D2HLJJ,98,VMD-00098,Used,Ice Silver,Medium Ash Gray,21477,10k-30k,Dealer Trade,arpi_synthetic_generator
